"Step","mabrax_ant__train_icrl__1__1746058437 - eval/episode_success","mabrax_ant__train_icrl__1__1746058437 - eval/episode_success__MIN","mabrax_ant__train_icrl__1__1746058437 - eval/episode_success__MAX"
"0","0","0","0"
"95232","0","0","0"
"190464","0","0","0"
"285696","0","0","0"
"380928","0","0","0"
"476160","0","0","0"
"571392","0","0","0"
"666624","0","0","0"
"761856","0","0","0"
"857088","0","0","0"
"952320","0","0","0"
"1047552","0","0","0"
"1142784","0","0","0"
"1238016","0","0","0"
"1333248","28.703125","28.703125","28.703125"
"1428480","25.53125","25.53125","25.53125"
"1523712","1","1","1"
"1618944","48.625","48.625","48.625"
"1714176","25.125","25.125","25.125"
"1809408","61.09375","61.09375","61.09375"
"1904640","75.296875","75.296875","75.296875"
"1999872","72.59375","72.59375","72.59375"
"2095104","123.578125","123.578125","123.578125"
"2190336","66.453125","66.453125","66.453125"
"2285568","55.078125","55.078125","55.078125"
"2380800","60.25","60.25","60.25"
"2476032","45.75","45.75","45.75"
"2571264","69.625","69.625","69.625"
"2666496","107.75","107.75","107.75"
"2761728","79.328125","79.328125","79.328125"
"2856960","102.875","102.875","102.875"
"2952192","83.15625","83.15625","83.15625"
"3047424","130.828125","130.828125","130.828125"
"3142656","115.34375","115.34375","115.34375"
"3237888","99.5625","99.5625","99.5625"
"3333120","209.515625","209.515625","209.515625"
"3428352","158.71875","158.71875","158.71875"
"3523584","119.515625","119.515625","119.515625"
"3618816","112.265625","112.265625","112.265625"
"3714048","127.84375","127.84375","127.84375"
"3809280","119.671875","119.671875","119.671875"
"3904512","76.96875","76.96875","76.96875"
"3999744","193.6875","193.6875","193.6875"
"4094976","187.25","187.25","187.25"
"4190208","154.21875","154.21875","154.21875"
"4285440","88.421875","88.421875","88.421875"
"4380672","103.984375","103.984375","103.984375"
"4475904","159.90625","159.90625","159.90625"
"4571136","189.140625","189.140625","189.140625"
"4666368","177.71875","177.71875","177.71875"
"4761600","207.984375","207.984375","207.984375"
"4856832","158.265625","158.265625","158.265625"
"4952064","143.296875","143.296875","143.296875"
"5047296","261.65625","261.65625","261.65625"
"5142528","107","107","107"
"5237760","154.890625","154.890625","154.890625"
"5332992","108.15625","108.15625","108.15625"
"5428224","174.6875","174.6875","174.6875"
"5523456","191.9375","191.9375","191.9375"
"5618688","121.28125","121.28125","121.28125"
"5713920","181.640625","181.640625","181.640625"
"5809152","82.515625","82.515625","82.515625"
"5904384","203.390625","203.390625","203.390625"
"5999616","114.234375","114.234375","114.234375"
"6094848","200.5625","200.5625","200.5625"
"6190080","182.53125","182.53125","182.53125"
"6285312","171.390625","171.390625","171.390625"
"6380544","171.765625","171.765625","171.765625"
"6475776","156.265625","156.265625","156.265625"
"6571008","98.109375","98.109375","98.109375"
"6666240","167.109375","167.109375","167.109375"
"6761472","178.015625","178.015625","178.015625"
"6856704","198.46875","198.46875","198.46875"
"6951936","166.421875","166.421875","166.421875"
"7047168","114.796875","114.796875","114.796875"
"7142400","145.71875","145.71875","145.71875"
"7237632","179.4375","179.4375","179.4375"
"7332864","116.640625","116.640625","116.640625"
"7428096","131.671875","131.671875","131.671875"
"7523328","106.234375","106.234375","106.234375"
"7618560","143.0625","143.0625","143.0625"
"7713792","144.875","144.875","144.875"
"7809024","171.859375","171.859375","171.859375"
"7904256","100.515625","100.515625","100.515625"