"Step","mabrax_ant_soccerv2__train_icrl__1__1746579584 - eval/episode_success","mabrax_ant_soccerv2__train_icrl__1__1746579584 - eval/episode_success__MIN","mabrax_ant_soccerv2__train_icrl__1__1746579584 - eval/episode_success__MAX"
"0","0","0","0"
"95232","0","0","0"
"190464","0","0","0"
"285696","0","0","0"
"380928","0","0","0"
"476160","0","0","0"
"571392","0","0","0"
"666624","0","0","0"
"761856","0","0","0"
"857088","0","0","0"
"952320","0","0","0"
"1047552","0","0","0"
"1142784","0","0","0"
"1238016","0","0","0"
"1333248","0","0","0"
"1428480","0","0","0"
"1523712","0","0","0"
"1618944","0","0","0"
"1714176","0","0","0"
"1809408","0","0","0"
"1904640","0","0","0"
"1999872","0","0","0"
"2095104","0","0","0"
"2190336","0","0","0"
"2285568","0","0","0"
"2380800","0","0","0"
"2476032","0","0","0"
"2571264","0","0","0"
"2666496","0","0","0"
"2761728","0","0","0"
"2856960","0","0","0"
"2952192","0","0","0"
"3047424","0","0","0"
"3142656","0","0","0"
"3237888","0","0","0"
"3333120","0","0","0"
"3428352","0","0","0"
"3523584","0","0","0"
"3618816","0","0","0"
"3714048","0","0","0"
"3809280","0","0","0"
"3904512","0","0","0"
"3999744","0","0","0"
"4094976","0","0","0"
"4190208","0","0","0"
"4285440","0","0","0"
"4380672","0","0","0"
"4475904","0","0","0"
"4571136","0","0","0"
"4666368","0","0","0"
"4761600","0","0","0"
"4856832","0","0","0"
"4952064","0","0","0"
"5047296","0","0","0"
"5142528","0","0","0"
"5237760","0","0","0"
"5332992","0","0","0"
"5428224","0","0","0"
"5523456","0","0","0"
"5618688","0","0","0"
"5713920","0","0","0"
"5809152","0","0","0"
"5904384","0","0","0"
"5999616","0","0","0"
"6094848","0","0","0"
"6190080","0","0","0"
"6285312","0","0","0"
"6380544","0","0","0"
"6475776","0","0","0"
"6571008","0","0","0"
"6666240","0","0","0"
"6761472","0","0","0"
"6856704","0","0","0"
"6951936","0","0","0"
"7047168","0","0","0"
"7142400","0","0","0"
"7237632","0","0","0"
"7332864","0","0","0"
"7428096","0","0","0"
"7523328","0","0","0"
"7618560","0","0","0"
"7713792","0","0","0"
"7809024","0","0","0"
"7904256","0","0","0"
"7999488","0","0","0"
"8094720","0","0","0"
"8189952","0","0","0"
"8285184","0","0","0"
"8380416","0","0","0"
"8475648","0","0","0"
"8570880","0","0","0"
"8666112","0","0","0"
"8761344","0","0","0"
"8856576","0","0","0"
"8951808","0","0","0"
"9047040","0","0","0"
"9142272","0","0","0"
"9237504","0","0","0"
"9332736","0","0","0"
"9427968","0","0","0"
"9523200","0","0","0"
"9618432","0","0","0"
"9713664","0","0","0"
"9808896","0","0","0"
"9904128","0","0","0"
"9999360","0","0","0"
"10094592","0","0","0"
"10189824","0","0","0"
"10285056","0","0","0"
"10380288","0","0","0"
"10475520","0","0","0"
"10570752","0","0","0"
"10665984","0","0","0"
"10761216","0","0","0"
"10856448","0","0","0"
"10951680","0","0","0"
"11046912","0","0","0"
"11142144","0","0","0"
"11237376","0","0","0"
"11332608","0","0","0"
"11427840","0","0","0"
"11523072","0","0","0"
"11618304","0","0","0"
"11713536","0","0","0"
"11808768","0","0","0"
"11904000","0","0","0"
"11999232","0","0","0"
"12094464","0","0","0"
"12189696","0","0","0"
"12284928","0","0","0"
"12380160","0","0","0"
"12475392","0","0","0"
"12570624","0","0","0"
"12665856","0","0","0"
"12761088","0","0","0"
"12856320","0","0","0"
"12951552","0","0","0"
"13046784","0","0","0"
"13142016","0","0","0"
"13237248","0","0","0"
"13332480","0","0","0"
"13427712","0","0","0"
"13522944","0","0","0"
"13618176","0","0","0"
"13713408","0","0","0"
"13808640","0","0","0"
"13903872","0","0","0"
"13999104","0","0","0"
"14094336","0","0","0"
"14189568","0","0","0"
"14284800","0","0","0"
"14380032","0","0","0"
"14475264","0","0","0"
"14570496","0","0","0"
"14665728","0","0","0"
"14760960","0","0","0"
"14856192","0","0","0"
"14951424","0","0","0"
"15046656","0","0","0"
"15141888","0","0","0"
"15237120","0","0","0"
"15332352","0","0","0"
"15427584","0","0","0"
"15522816","0","0","0"
"15618048","0","0","0"
"15713280","0","0","0"
"15808512","0","0","0"
"15903744","0","0","0"
"15998976","0","0","0"
"16094208","0","0","0"
"16189440","0","0","0"
"16284672","0","0","0"
"16379904","0","0","0"
"16475136","0","0","0"
"16570368","0","0","0"
"16665600","0","0","0"
"16760832","0","0","0"
"16856064","0","0","0"
"16951296","0","0","0"
"17046528","0","0","0"
"17141760","0","0","0"
"17236992","0","0","0"
"17332224","0","0","0"
"17427456","0","0","0"
"17522688","0","0","0"
"17617920","0","0","0"
"17713152","0","0","0"
"17808384","0","0","0"
"17903616","0","0","0"
"17998848","0","0","0"
"18094080","0","0","0"
"18189312","0","0","0"
"18284544","0","0","0"
"18379776","0","0","0"
"18475008","0","0","0"
"18570240","0","0","0"
"18665472","0","0","0"
"18760704","0","0","0"
"18855936","0","0","0"
"18951168","0","0","0"
"19046400","0","0","0"
"19141632","0","0","0"
"19236864","0","0","0"
"19332096","0","0","0"
"19427328","0","0","0"
"19522560","0","0","0"
"19617792","0","0","0"
"19713024","0","0","0"
"19808256","0","0","0"
"19903488","0","0","0"
"19998720","0","0","0"
"20093952","0","0","0"
"20189184","0","0","0"
"20284416","0","0","0"
"20379648","0","0","0"
"20474880","0","0","0"
"20570112","0","0","0"
"20665344","0","0","0"
"20760576","0","0","0"
"20855808","0","0","0"
"20951040","0","0","0"
"21046272","0","0","0"
"21141504","0","0","0"
"21236736","0","0","0"
"21331968","0","0","0"
"21427200","0","0","0"
"21522432","0","0","0"
"21617664","0","0","0"
"21712896","0","0","0"
"21808128","0","0","0"
"21903360","0","0","0"
"21998592","0","0","0"
"22093824","0","0","0"
"22189056","0","0","0"
"22284288","0","0","0"
"22379520","0","0","0"
"22474752","0","0","0"
"22569984","0","0","0"
"22665216","0","0","0"
"22760448","0","0","0"
"22855680","0","0","0"
"22950912","0","0","0"
"23046144","0","0","0"
"23141376","0","0","0"
"23236608","0","0","0"
"23331840","0","0","0"
"23427072","0","0","0"
"23522304","0","0","0"
"23617536","0","0","0"
"23712768","0","0","0"
"23808000","0","0","0"
"23903232","0","0","0"
"23998464","0","0","0"
"24093696","0","0","0"
"24188928","0","0","0"
"24284160","0","0","0"
"24379392","0","0","0"
"24474624","0","0","0"
"24569856","0","0","0"
"24665088","0","0","0"
"24760320","0","0","0"
"24855552","0","0","0"
"24950784","0","0","0"
"25046016","0","0","0"
"25141248","0","0","0"
"25236480","0","0","0"
"25331712","0","0","0"
"25426944","0","0","0"
"25522176","0","0","0"
"25617408","0","0","0"
"25712640","0","0","0"
"25807872","0","0","0"
"25903104","0","0","0"
"25998336","0","0","0"
"26093568","0","0","0"
"26188800","0","0","0"
"26284032","0","0","0"
"26379264","0","0","0"
"26474496","0","0","0"
"26569728","0","0","0"
"26664960","0","0","0"
"26760192","0","0","0"
"26855424","0","0","0"
"26950656","0","0","0"
"27045888","0","0","0"
"27141120","0","0","0"
"27236352","0","0","0"
"27331584","0","0","0"
"27426816","0","0","0"
"27522048","0","0","0"
"27617280","0","0","0"
"27712512","0","0","0"
"27807744","0","0","0"
"27902976","0","0","0"
"27998208","0","0","0"
"28093440","0","0","0"
"28188672","0","0","0"
"28283904","0","0","0"
"28379136","0","0","0"
"28474368","0","0","0"
"28569600","0","0","0"
"28664832","0","0","0"
"28760064","0","0","0"
"28855296","0","0","0"
"28950528","0","0","0"
"29045760","0","0","0"
"29140992","0","0","0"
"29236224","0","0","0"
"29331456","0","0","0"
"29426688","0","0","0"
"29521920","0","0","0"
"29617152","0","0","0"
"29712384","0","0","0"
"29807616","0","0","0"
"29902848","0","0","0"
"29998080","0","0","0"
"30093312","0","0","0"
"30188544","0","0","0"
"30283776","0","0","0"
"30379008","0","0","0"
"30474240","0","0","0"
"30569472","0","0","0"
"30664704","0","0","0"
"30759936","0","0","0"
"30855168","0","0","0"
"30950400","0","0","0"
"31045632","0","0","0"
"31140864","0","0","0"
"31236096","0","0","0"
"31331328","0","0","0"
"31426560","0","0","0"
"31521792","0","0","0"
"31617024","0","0","0"
"31712256","0","0","0"
"31807488","0","0","0"
"31902720","0","0","0"
"31997952","0","0","0"
"32093184","0","0","0"
"32188416","0","0","0"
"32283648","0","0","0"
"32378880","0","0","0"
"32474112","0","0","0"
"32569344","0","0","0"
"32664576","0","0","0"
"32759808","0","0","0"
"32855040","0","0","0"
"32950272","0","0","0"
"33045504","0","0","0"
"33140736","0","0","0"
"33235968","0","0","0"
"33331200","0","0","0"
"33426432","0","0","0"
"33521664","0","0","0"
"33616896","0","0","0"
"33712128","0","0","0"
"33807360","0","0","0"
"33902592","0","0","0"
"33997824","0","0","0"
"34093056","0","0","0"
"34188288","0","0","0"
"34283520","0","0","0"
"34378752","0","0","0"
"34473984","0","0","0"
"34569216","0","0","0"
"34664448","0","0","0"
"34759680","0","0","0"
"34854912","0","0","0"
"34950144","0","0","0"
"35045376","0","0","0"
"35140608","0","0","0"
"35235840","0","0","0"
"35331072","0","0","0"
"35426304","0","0","0"
"35521536","0","0","0"
"35616768","0","0","0"
"35712000","0","0","0"
"35807232","0","0","0"
"35902464","0","0","0"
"35997696","0","0","0"
"36092928","0","0","0"
"36188160","0","0","0"
"36283392","0","0","0"
"36378624","0","0","0"
"36473856","0","0","0"
"36569088","0","0","0"
"36664320","0","0","0"
"36759552","0","0","0"
"36854784","0","0","0"
"36950016","0","0","0"
"37045248","0","0","0"
"37140480","0","0","0"
"37235712","0","0","0"
"37330944","0","0","0"
"37426176","0","0","0"
"37521408","0","0","0"
"37616640","0","0","0"
"37711872","0","0","0"
"37807104","0","0","0"
"37902336","0","0","0"
"37997568","0","0","0"
"38092800","0","0","0"
"38188032","0","0","0"
"38283264","0","0","0"
"38378496","0","0","0"
"38473728","0","0","0"
"38568960","0","0","0"
"38664192","0","0","0"
"38759424","0","0","0"
"38854656","0","0","0"
"38949888","0","0","0"
"39045120","0","0","0"
"39140352","0","0","0"
"39235584","0","0","0"
"39330816","0","0","0"
"39426048","0","0","0"
"39521280","0","0","0"
"39616512","0","0","0"
"39711744","0","0","0"
"39806976","0","0","0"
"39902208","0","0","0"
"39997440","0","0","0"
"40092672","0","0","0"
"40187904","0","0","0"
"40283136","0","0","0"
"40378368","0","0","0"
"40473600","0","0","0"
"40568832","0","0","0"
"40664064","0","0","0"
"40759296","0","0","0"
"40854528","0","0","0"
"40949760","0","0","0"
"41044992","0","0","0"
"41140224","0","0","0"
"41235456","0","0","0"
"41330688","0","0","0"
"41425920","0","0","0"
"41521152","0","0","0"
"41616384","0","0","0"
"41711616","0","0","0"
"41806848","0","0","0"
"41902080","0","0","0"
"41997312","0","0","0"
"42092544","0","0","0"
"42187776","0","0","0"
"42283008","0","0","0"
"42378240","0","0","0"
"42473472","0","0","0"
"42568704","0","0","0"
"42663936","0","0","0"
"42759168","0","0","0"
"42854400","0","0","0"
"42949632","0","0","0"
"43044864","0","0","0"
"43140096","0","0","0"
"43235328","0","0","0"
"43330560","0","0","0"
"43425792","0","0","0"
"43521024","0","0","0"
"43616256","0","0","0"
"43711488","0","0","0"
"43806720","0","0","0"
"43901952","0","0","0"
"43997184","0","0","0"
"44092416","0","0","0"
"44187648","0","0","0"
"44282880","0","0","0"
"44378112","0","0","0"
"44473344","0","0","0"
"44568576","0","0","0"
"44663808","0","0","0"
"44759040","0","0","0"
"44854272","0","0","0"
"44949504","0","0","0"
"45044736","0","0","0"
"45139968","0","0","0"
"45235200","0","0","0"
"45330432","0","0","0"
"45425664","0","0","0"
"45520896","0","0","0"
"45616128","0","0","0"
"45711360","0","0","0"
"45806592","0","0","0"
"45901824","0","0","0"
"45997056","0","0","0"
"46092288","0","0","0"
"46187520","0","0","0"
"46282752","0","0","0"
"46377984","0","0","0"
"46473216","0","0","0"
"46568448","0","0","0"
"46663680","0","0","0"
"46758912","0","0","0"
"46854144","0","0","0"
"46949376","0","0","0"
"47044608","0","0","0"
"47139840","0","0","0"
"47235072","0","0","0"
"47330304","0","0","0"
"47425536","0","0","0"
"47520768","0","0","0"